trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
69178010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
5303010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
69357010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1007910,shp-100-02,1
53527070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
61108020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
54003010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
61684020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
54141070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000990,shp-100-02,1
6169010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1007910,shp-100-02,1
54997010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
68541070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
55035070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
60713020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
5504020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
68688020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
55390020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
60888020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
56188070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
58557070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
5654070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1008870,shp-100-02,1
68380010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
